,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
1936,house,international city by sobha phase 1,sector 109,5.7,10556.0,4.0,4.0,3+,4.0,Relatively New,5400.0,1.0,1.0,0.0,0.0,0.0,0.0,98.0,"28.5073° N, 77.0089° E",28.5073,77.0089
1937,house,nul,sector 25,9.5,33404.0,9.0,9.0,3+,3.0,Old Property,2844.0,0.0,0.0,0.0,0.0,1.0,0.0,81.0,"28.4844° N, 77.0860° E",28.4844,77.086
1938,flat,signature global city 81,sector 81,0.96,9766.0,2.0,2.0,2,1.0,Under Construction,1194.44,0.0,0.0,0.0,0.0,0.0,0.0,49.0,"28.3867° N, 76.9485° E",28.3867,76.9485
1939,flat,dlf the ultima,sector 81,2.35,11233.0,3.0,4.0,3+,18.0,Relatively New,3115.43,0.0,1.0,0.0,0.0,0.0,0.0,106.0,"28.3867° N, 76.9485° E",28.3867,76.9485
1940,flat,smart world orchard,sector 61,2.2,14203.0,3.0,3.0,2,4.0,New Property,1721.11,0.0,0.0,0.0,0.0,0.0,0.0,152.0,"28.4050° N, 77.0963° E",28.405,77.0963
1941,house,eldeco mansionz,sector 48,5.15,18885.0,5.0,7.0,3,2.0,Moderately Old,2727.0,0.0,1.0,0.0,1.0,0.0,1.0,145.0,"28.4177° N, 77.0359° E",28.4177,77.0359
1942,flat,smart world orchard,sector 61,1.65,13750.0,2.0,2.0,2,1.0,Under Construction,1333.33,1.0,0.0,0.0,0.0,0.0,0.0,16.0,"28.4050° N, 77.0963° E",28.405,77.0963
1943,flat,unitech the residences,sector 33,1.35,8738.0,3.0,4.0,2,8.0,Moderately Old,1398.19,0.0,1.0,0.0,0.0,0.0,0.0,49.0,"28.4420° N, 77.0207° E",28.442,77.0207
1944,flat,signature global the millennia 3,sector 37d,0.5,7143.0,3.0,3.0,2,2.0,Under Construction,777.78,0.0,0.0,0.0,0.0,0.0,0.0,31.0,"28.4478° N, 76.9703° E",28.4478,76.9703
1945,flat,ats tourmaline,sector 109,2.1,8124.0,3.0,4.0,3+,11.0,Relatively New,2100.0,0.0,1.0,0.0,0.0,0.0,1.0,165.0,"28.5073° N, 77.0089° E",28.5073,77.0089
1946,flat,tulip orange,sector 70,1.1,8148.0,3.0,2.0,2,5.0,Relatively New,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3968° N, 77.0233° E",28.3968,77.0233
1947,flat,huda ashok vihar phase,sector 4,0.43,6615.0,2.0,2.0,1,2.0,Relatively New,722.22,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"28.4738° N, 77.0107° E",28.4738,77.0107
1948,flat,deepak minda,manesar,1.25,4715.0,4.0,4.0,3+,6.0,Moderately Old,2945.56,0.0,0.0,0.0,0.0,0.0,1.0,44.0,"28.3515° N, 76.9428° E",28.3515,76.9428
1949,flat,vatika seven elements,sector 89,1.6,8163.0,3.0,3.0,3,5.0,New Property,1773.76,0.0,0.0,0.0,0.0,0.0,0.0,58.0,"28.4253° N, 76.9439° E",28.4253,76.9439
1950,flat,dlf the primus,sector 82a,2.6,11439.0,4.0,4.0,3+,2.0,Relatively New,3545.9,0.0,0.0,0.0,0.0,1.0,0.0,38.0,"28.3858° N, 76.9686° E",28.3858,76.9686
1951,flat,vatika gurgaon,sector 83,1.4,7179.0,4.0,4.0,3,10.0,Relatively New,2166.67,0.0,1.0,0.0,0.0,0.0,0.0,35.0,"28.3986° N, 76.9647° E",28.3986,76.9647
1952,flat,m3m merlin,sector 67,2.78,13581.0,3.0,3.0,3+,4.0,Relatively New,2047.0,0.0,0.0,0.0,1.0,0.0,1.0,157.0,"28.3859° N, 77.0608° E",28.3859,77.0608
1953,flat,bestech park view residency,sector 2,0.56,8550.0,1.0,1.0,2,7.0,Moderately Old,722.22,0.0,0.0,0.0,0.0,0.0,0.0,92.0,"28.5095° N, 77.0320° E",28.5095,77.032
1954,flat,emaar palm premier,sector 77,2.1,10500.0,3.0,4.0,3+,11.0,New Property,1600.0,0.0,1.0,0.0,0.0,0.0,1.0,129.0,"28.3801° N, 76.9845° E",28.3801,76.9845
1955,house,huda plots,sector 56,2.95,20359.0,2.0,2.0,2,1.0,Moderately Old,1449.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,"28.4245° N, 77.0991° E",28.4245,77.0991
1956,flat,emaar mgf emerald floors,sector 65,2.6,15758.0,3.0,3.0,3+,3.0,Relatively New,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4030° N, 77.0690° E",28.403,77.069
1957,flat,imperia the esfera,sector 37,0.7,4878.0,2.0,3.0,3+,12.0,Under Construction,1298.64,1.0,0.0,0.0,0.0,1.0,0.0,58.0,"28.4375° N, 76.9999° E",28.4375,76.9999
1958,house,independent,sector 25,10.85,38150.0,6.0,6.0,1,3.0,Relatively New,2844.0,0.0,0.0,1.0,0.0,0.0,1.0,136.0,"28.4844° N, 77.0860° E",28.4844,77.086
1959,flat,aditya apartment,manesar,1.0,4032.0,3.0,4.0,0,3.0,New Property,2480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3515° N, 76.9428° E",28.3515,76.9428
1960,house,independent,sector 4,0.55,6815.0,2.0,1.0,1,1.0,Moderately Old,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4738° N, 77.0107° E",28.4738,77.0107
1961,house,independent,sector 31,3.69,23699.0,4.0,4.0,2,2.0,Moderately Old,1557.0,1.0,1.0,0.0,1.0,0.0,1.0,75.0,"28.4528° N, 77.0498° E",28.4528,77.0498
1962,flat,ss the leaf,sector 85,2.0,8306.0,3.0,4.0,3,8.0,Relatively New,2179.19,0.0,1.0,0.0,0.0,0.0,0.0,21.0,"28.4042° N, 76.9513° E",28.4042,76.9513
1963,flat,paras dews,sector 106,1.17,6648.0,3.0,4.0,3+,12.0,Relatively New,1186.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,"28.5007° N, 77.0003° E",28.5007,77.0003
1964,house,independent,sector 12,1.5,11111.0,5.0,5.0,2,3.0,Old Property,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,"28.4723° N, 77.0320° E",28.4723,77.032
1965,flat,ansal api esencia,sector 67,1.2,7407.0,3.0,3.0,2,1.0,Relatively New,200.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,"28.3859° N, 77.0608° E",28.3859,77.0608
1966,flat,bestech park view ananda,sector 81,0.9,6618.0,2.0,2.0,3,8.0,New Property,1230.77,0.0,0.0,0.0,0.0,1.0,0.0,60.0,"28.3867° N, 76.9485° E",28.3867,76.9485
1967,flat,emaar mgf emerald estate,sector 65,1.7,21014.0,3.0,3.0,3,7.0,Relatively New,2161.33,1.0,0.0,0.0,0.0,0.0,1.0,116.0,"28.4030° N, 77.0690° E",28.403,77.069
1968,flat,the close north,sector 50,2.65,11277.0,3.0,3.0,3+,3.0,Moderately Old,2491.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0,"28.4178° N, 77.0628° E",28.4178,77.0628
1969,flat,ireo skyon,sector 60,3.7,13214.0,4.0,5.0,3,10.0,Relatively New,2533.94,0.0,1.0,0.0,0.0,0.0,1.0,165.0,"28.4003° N, 77.0975° E",28.4003,77.0975
1970,house,independent,sector 57,3.49,20197.0,4.0,4.0,2,3.0,Moderately Old,1728.0,1.0,1.0,0.0,1.0,0.0,1.0,49.0,"28.4232° N, 77.0752° E",28.4232,77.0752
1971,flat,bptp terra,sector 37d,1.65,8791.0,3.0,3.0,2,15.0,Relatively New,1698.64,0.0,0.0,0.0,0.0,0.0,0.0,116.0,"28.4478° N, 76.9703° E",28.4478,76.9703
1972,flat,m3m ikonic,sector 68,1.8,9231.0,3.0,3.0,3+,18.0,Relatively New,1845.0,0.0,0.0,0.0,0.0,0.0,1.0,126.0,"28.3853° N, 77.0484° E",28.3853,77.0484
1973,flat,m3m woodshire,sector 107,0.8,5857.0,2.0,2.0,3+,6.0,Relatively New,2408.42,0.0,0.0,0.0,1.0,0.0,1.0,174.0,"28.5052° N, 76.9729° E",28.5052,76.9729
1974,house,project mianwali colony,sector 12,1.7,9444.0,1.0,1.0,2,1.0,Old Property,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4723° N, 77.0320° E",28.4723,77.032
1975,house,independent,sector 8,0.45,9000.0,1.0,1.0,1,3.0,Moderately Old,555.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3738° N, 76.8970° E",28.3738,76.897
1976,flat,paras dews,sector 106,0.87,9255.0,2.0,2.0,3+,1.0,New Property,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,"28.5007° N, 77.0003° E",28.5007,77.0003
1977,flat,m3m woodshire,sector 107,0.88,6442.0,2.0,2.0,3+,3.0,Relatively New,1236.2,0.0,0.0,0.0,0.0,0.0,0.0,99.0,"28.5052° N, 76.9729° E",28.5052,76.9729
1978,flat,aardhya homesh,sector 67a,1.85,8043.0,4.0,4.0,0,4.0,New Property,2555.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3960° N, 77.0372° E",28.396,77.0372
1979,flat,pioneer park,sector 61,2.04,14624.0,3.0,3.0,3+,16.0,Moderately Old,1595.0,0.0,1.0,0.0,0.0,0.0,1.0,165.0,"28.4050° N, 77.0963° E",28.405,77.0963
1980,house,independent,sector 11,2.1,17284.0,2.0,6.0,3+,3.0,Relatively New,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,"28.4531° N, 77.0202° E",28.4531,77.0202
1981,flat,dlf the ultima,sector 81,2.25,10553.0,3.0,3.0,3+,15.0,Relatively New,1929.41,0.0,1.0,0.0,0.0,0.0,2.0,165.0,"28.3867° N, 76.9485° E",28.3867,76.9485
1982,flat,ireo the grand arch,sector 58,2.2,16000.0,2.0,2.0,2,6.0,Relatively New,1244.34,0.0,0.0,0.0,0.0,0.0,0.0,42.0,"28.4200° N, 77.1105° E",28.42,77.1105
1983,flat,signature andour heights,sector 71,0.39,9848.0,1.0,1.0,2,1.0,New Property,294.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4104° N, 77.0281° E",28.4104,77.0281
1984,flat,ambience lagoon,sector 24,5.8,12500.0,3.0,4.0,3+,9.0,Old Property,3700.0,1.0,1.0,0.0,1.0,1.0,2.0,68.0,"28.4939° N, 77.1038° E",28.4939,77.1038
1985,flat,bestech park view ananda,sector 81,0.95,6985.0,2.0,2.0,2,13.0,Relatively New,1150.0,0.0,0.0,0.0,0.0,0.0,1.0,167.0,"28.3867° N, 76.9485° E",28.3867,76.9485
1986,flat,shree vardhman flora,sector 90,0.7,5178.0,2.0,3.0,2,7.0,Relatively New,1502.22,1.0,0.0,0.0,0.0,0.0,1.0,49.0,"28.4085° N, 76.9369° E",28.4085,76.9369
1987,flat,corona optus,sector 37,1.27,7204.0,3.0,3.0,3,2.0,Relatively New,3162.14,1.0,0.0,0.0,0.0,1.0,0.0,49.0,"28.4375° N, 76.9999° E",28.4375,76.9999
1988,flat,raheja vedaanta,sector 108,1.25,5682.0,3.0,2.0,0,0.0,Relatively New,1990.95,0.0,0.0,0.0,0.0,0.0,1.0,65.0,"28.5134° N, 76.9830° E",28.5134,76.983
1989,flat,dlf the primus,sector 82a,2.85,10936.0,4.0,4.0,3+,2.0,New Property,4358.37,0.0,1.0,0.0,0.0,0.0,2.0,174.0,"28.3858° N, 76.9686° E",28.3858,76.9686
1990,house,vipul tatvam villa,sector 48,7.25,27971.0,3.0,4.0,2,2.0,Moderately Old,2592.0,1.0,1.0,1.0,1.0,0.0,1.0,115.0,"28.4177° N, 77.0359° E",28.4177,77.0359
1991,flat,indiabulls centrum park,sector 103,2.14,7443.0,4.0,6.0,3+,7.0,Relatively New,5435.14,0.0,1.0,0.0,0.0,0.0,0.0,142.0,"28.4949° N, 76.9845° E",28.4949,76.9845
1992,flat,godrej nature plus,sector 33,1.07,7726.0,2.0,2.0,2,14.0,Under Construction,1253.39,0.0,0.0,0.0,0.0,0.0,0.0,68.0,"28.4420° N, 77.0207° E",28.442,77.0207
1993,flat,godrej air,sector 85,2.6,12212.0,3.0,3.0,3,17.0,Under Construction,2129.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,"28.4042° N, 76.9513° E",28.4042,76.9513
1994,house,experion windchants,sector 112,9.5,23457.0,5.0,5.0,3,2.0,Relatively New,7450.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,"28.5189° N, 77.0183° E",28.5189,77.0183
1995,house,independent,sector 4,1.1,6111.0,4.0,4.0,3+,2.0,Old Property,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"28.4738° N, 77.0107° E",28.4738,77.0107
1996,flat,m3m woodshire,sector 107,1.3,10815.0,3.0,3.0,3,7.0,Relatively New,3093.93,0.0,0.0,0.0,1.0,0.0,0.0,89.0,"28.5052° N, 76.9729° E",28.5052,76.9729
1997,flat,hsiidc sidco aravali,manesar,0.91,3516.0,3.0,3.0,3+,8.0,Moderately Old,1900.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,"28.3515° N, 76.9428° E",28.3515,76.9428
1998,flat,paras dews,sector 106,1.14,6000.0,3.0,4.0,3,8.0,Relatively New,1305.0,1.0,1.0,0.0,0.0,0.0,0.0,49.0,"28.5007° N, 77.0003° E",28.5007,77.0003
1999,house,independent,sector 9,0.6,10753.0,2.0,2.0,1,1.0,Moderately Old,558.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,"28.4603° N, 77.0000° E",28.4603,77.0
2000,house,independent,sector 104,0.6,5128.0,4.0,3.0,1,2.0,Moderately Old,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4788° N, 76.9960° E",28.4788,76.996
2001,flat,ramsons kshitij,sector 95,0.17,544.0,1.0,1.0,1,12.0,Relatively New,3568.89,0.0,0.0,0.0,0.0,0.0,0.0,56.0,"28.4172° N, 76.9081° E",28.4172,76.9081
2002,flat,rose apartment,sector 28,3.0,10482.0,3.0,5.0,3+,8.0,Old Property,2590.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4728° N, 77.0865° E",28.4728,77.0865
2003,flat,ss the leaf,sector 85,1.31,7988.0,2.0,2.0,2,5.0,Relatively New,1822.22,0.0,1.0,0.0,0.0,0.0,0.0,89.0,"28.4042° N, 76.9513° E",28.4042,76.9513
2004,flat,vatika sovereign park,sector 99,3.2,9922.0,4.0,4.0,0,5.0,Under Construction,3225.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,"28.4640° N, 76.9614° E",28.464,76.9614
2005,flat,paras dews,sector 106,1.0,7220.0,2.0,2.0,3+,2.0,New Property,940.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,"28.5007° N, 77.0003° E",28.5007,77.0003
2006,flat,pareena mi casa,sector 68,1.85,9311.0,3.0,3.0,3+,13.0,Under Construction,1798.19,0.0,0.0,0.0,0.0,0.0,0.0,47.0,"28.3853° N, 77.0484° E",28.3853,77.0484
2007,flat,satya the hermitage,sector 103,0.8,5517.0,2.0,2.0,0,10.0,Relatively New,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,"28.4949° N, 76.9845° E",28.4949,76.9845
2008,flat,signature global synera,sector 81,0.39,6500.0,2.0,2.0,2,6.0,Relatively New,666.67,0.0,0.0,0.0,0.0,0.0,0.0,37.0,"28.3867° N, 76.9485° E",28.3867,76.9485
2009,house,independent,sector 49,4.45,15451.0,6.0,6.0,3,3.0,Moderately Old,2880.0,1.0,1.0,1.0,1.0,0.0,2.0,152.0,"28.4121° N, 77.0480° E",28.4121,77.048
2010,flat,signature global solera,sector 107,0.5,7752.0,3.0,2.0,2,6.0,Relatively New,716.67,0.0,0.0,0.0,0.0,1.0,0.0,49.0,"28.5052° N, 76.9729° E",28.5052,76.9729
2011,house,independent,sector 55,1.45,26852.0,1.0,4.0,3+,4.0,Relatively New,60.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,"28.4281° N, 77.1100° E",28.4281,77.11
2012,flat,unitech uniworld city,sector 30,3.55,14992.0,3.0,5.0,3+,16.0,Old Property,2367.0,0.0,1.0,0.0,0.0,0.0,1.0,141.0,"28.4604° N, 77.0579° E",28.4604,77.0579
2013,house,unitech uniworld resorts,sector 33,8.0,11429.0,4.0,4.0,3+,2.0,Old Property,7000.0,1.0,1.0,1.0,1.0,0.0,0.0,77.0,"28.4420° N, 77.0207° E",28.442,77.0207
2014,house,independent,sector 4,4.12,8889.0,2.0,1.0,3+,2.0,Moderately Old,4635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4738° N, 77.0107° E",28.4738,77.0107
2015,house,ansal heights,sector 92,2.75,9793.0,4.0,4.0,3+,3.0,Relatively New,5000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"28.4079° N, 76.9153° E",28.4079,76.9153
2016,flat,sare green parc phase 3,sector 92,1.1,6875.0,4.0,3.0,2,12.0,New Property,1777.78,0.0,0.0,0.0,0.0,0.0,0.0,15.0,"28.4079° N, 76.9153° E",28.4079,76.9153
2017,flat,bestech park view sanskruti,sector 92,1.6,7547.0,3.0,3.0,3,10.0,Relatively New,3529.66,0.0,1.0,0.0,0.0,0.0,1.0,60.0,"28.4079° N, 76.9153° E",28.4079,76.9153
2018,house,smart world gems,sector 89,1.25,8784.0,3.0,3.0,2,1.0,Under Construction,1423.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,"28.4253° N, 76.9439° E",28.4253,76.9439
2019,flat,ss the coralwood,sector 84,1.1,4857.0,3.0,3.0,2,9.0,Relatively New,1583.71,0.0,0.0,0.0,0.0,0.0,0.0,75.0,"28.3979° N, 76.9736° E",28.3979,76.9736
2020,flat,tarc maceo,sector 91,0.89,6339.0,2.0,2.0,3+,9.0,Relatively New,2603.92,0.0,0.0,0.0,0.0,1.0,1.0,13.0,"28.4014° N, 76.9225° E",28.4014,76.9225
2021,flat,emaar mgf the palm drive,sector 66,3.4,15455.0,3.0,4.0,3,9.0,Relatively New,2200.0,0.0,1.0,1.0,0.0,0.0,1.0,96.0,"28.3925° N, 77.0541° E",28.3925,77.0541
2022,house,independent,sector 17,3.0,11111.0,4.0,4.0,0,1.0,Old Property,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4791° N, 77.0608° E",28.4791,77.0608
2023,house,sector 14 rwa,sector 14,5.51,16990.0,3.0,3.0,2,4.0,Moderately Old,3249.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,"28.4711° N, 77.0454° E",28.4711,77.0454
2024,flat,on request,sector 103,1.69,9145.0,3.0,3.0,3+,8.0,Relatively New,1669.68,0.0,0.0,0.0,0.0,0.0,0.0,49.0,"28.4949° N, 76.9845° E",28.4949,76.9845
2025,flat,the close north,sector 50,2.75,12500.0,3.0,3.0,3,3.0,Moderately Old,2400.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0,"28.4178° N, 77.0628° E",28.4178,77.0628
2026,house,unitech espace,sector 50,10.3,31790.0,5.0,6.0,3+,3.0,Moderately Old,3240.0,1.0,1.0,1.0,1.0,0.0,1.0,160.0,"28.4178° N, 77.0628° E",28.4178,77.0628
2027,flat,sidhartha ncr greens,sector 95,0.56,5657.0,2.0,2.0,3,13.0,New Property,895.93,0.0,0.0,0.0,0.0,0.0,0.0,8.0,"28.4172° N, 76.9081° E",28.4172,76.9081
2028,flat,lig flat,sector 40,1.5,5556.0,1.0,1.0,0,0.0,Moderately Old,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4498° N, 77.0567° E",28.4498,77.0567
2029,flat,godrej nature plus,sector 33,1.27,9183.0,2.0,2.0,3+,9.0,Under Construction,1251.58,0.0,0.0,0.0,0.0,0.0,0.0,38.0,"28.4420° N, 77.0207° E",28.442,77.0207
2030,flat,spire woods now ananda by alpha corp,sector 103,1.25,6902.0,3.0,4.0,3,11.0,Under Construction,2012.22,1.0,1.0,0.0,0.0,0.0,0.0,105.0,"28.4949° N, 76.9845° E",28.4949,76.9845
2031,flat,emaar mgf palm terraces,sector 66,4.5,10598.0,5.0,5.0,3+,11.0,New Property,3321.27,0.0,1.0,0.0,0.0,0.0,0.0,105.0,"28.3925° N, 77.0541° E",28.3925,77.0541
2032,flat,mittal surya vihar,sector 21,1.4,5833.0,5.0,4.0,2,2.0,Moderately Old,2171.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.5134° N, 77.0723° E",28.5134,77.0723
2033,flat,green court,sector 90,0.4,6390.0,2.0,2.0,1,8.0,New Property,1150.96,0.0,0.0,0.0,0.0,0.0,0.0,20.0,"28.4085° N, 76.9369° E",28.4085,76.9369
2034,flat,maruti vihar,sector 28,1.0,9091.0,1.0,1.0,1,1.0,Old Property,995.48,1.0,0.0,0.0,1.0,0.0,1.0,80.0,"28.4728° N, 77.0865° E",28.4728,77.0865
2035,flat,tulip violet,sector 69,3.25,10106.0,4.0,5.0,3+,14.0,Relatively New,2910.41,0.0,0.0,0.0,1.0,1.0,0.0,20.0,"28.3966° N, 77.0341° E",28.3966,77.0341
2036,flat,smart world gems,sector 89,1.3,9136.0,3.0,3.0,2,2.0,New Property,1581.11,1.0,0.0,0.0,0.0,0.0,0.0,44.0,"28.4253° N, 76.9439° E",28.4253,76.9439
2037,flat,park view apartment,sector 56,1.74,7565.0,3.0,3.0,3+,2.0,Old Property,2400.0,0.0,1.0,0.0,1.0,0.0,1.0,104.0,"28.4245° N, 77.0991° E",28.4245,77.0991
2038,flat,apna enclave,sector 3,0.55,5789.0,2.0,2.0,2,2.0,Old Property,900.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,"28.4909° N, 77.0176° E",28.4909,77.0176
2039,flat,godrej air,sector 85,1.3,14541.0,2.0,2.0,3,30.0,Under Construction,2260.3,0.0,0.0,0.0,0.0,0.0,0.0,111.0,"28.4042° N, 76.9513° E",28.4042,76.9513
2040,house,independent,sector 17,0.29,3255.0,2.0,1.0,0,0.0,Old Property,891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4791° N, 77.0608° E",28.4791,77.0608
2041,house,independent,sector 41,7.25,29293.0,9.0,8.0,3,4.0,Old Property,2475.0,0.0,1.0,0.0,0.0,0.0,1.0,94.0,"28.4557° N, 77.0632° E",28.4557,77.0632
2042,house,smart world orchard,sector 61,2.01,13001.0,3.0,3.0,3,4.0,Under Construction,1549.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,"28.4050° N, 77.0963° E",28.405,77.0963
2043,flat,vatika city,sector 49,1.79,12786.0,3.0,3.0,3,9.0,Old Property,1555.56,0.0,1.0,0.0,0.0,0.0,0.0,38.0,"28.4121° N, 77.0480° E",28.4121,77.048
2044,flat,ramprastha primera,sector 37d,1.2,13333.0,3.0,3.0,3,5.0,Relatively New,1000.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,"28.4478° N, 76.9703° E",28.4478,76.9703
2045,house,independent,sector 108,1.7,5667.0,4.0,4.0,3+,1.0,Relatively New,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.5134° N, 76.9830° E",28.5134,76.983
2046,flat,raheja sampada,sector 92,0.9,6569.0,3.0,2.0,3,11.0,Relatively New,1239.82,0.0,0.0,0.0,0.0,0.0,0.0,88.0,"28.4079° N, 76.9153° E",28.4079,76.9153
2047,flat,sbtl caladium,sector 109,1.9,6219.0,4.0,4.0,3,8.0,Relatively New,2764.71,0.0,1.0,0.0,0.0,0.0,0.0,151.0,"28.5073° N, 77.0089° E",28.5073,77.0089
2048,flat,adani oyster greens,sector 102,1.9,10058.0,3.0,3.0,3+,9.0,Relatively New,2098.89,1.0,0.0,1.0,1.0,0.0,0.0,0.0,"28.4750° N, 76.9715° E",28.475,76.9715
2049,flat,microtek greenburg,sector 86,1.25,8446.0,3.0,4.0,3,0.0,Relatively New,1339.37,1.0,0.0,0.0,0.0,0.0,0.0,49.0,"28.3986° N, 76.9384° E",28.3986,76.9384
2050,flat,bestech spa signature,sector 81,4.45,10595.0,4.0,4.0,3+,8.0,Relatively New,3850.0,1.0,1.0,0.0,1.0,1.0,1.0,49.0,"28.3867° N, 76.9485° E",28.3867,76.9485
2051,flat,dlf the arbour,sector 63,7.9,20000.0,4.0,4.0,3+,34.0,Under Construction,3950.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,"28.3971° N, 77.0867° E",28.3971,77.0867
2052,house,aindependentt raj estates,sector 63a,8.5,27139.0,6.0,6.0,3+,3.0,Under Construction,3132.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,"28.3923° N, 77.0888° E",28.3923,77.0888
2053,flat,ireo uptown,sector 66,2.4,13065.0,3.0,2.0,3,5.0,Relatively New,1700.0,0.0,1.0,0.0,0.0,0.0,1.0,156.0,"28.3925° N, 77.0541° E",28.3925,77.0541
2054,flat,la vida by tata housing,sector 113,1.5,11755.0,2.0,2.0,2,13.0,New Property,1154.75,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"28.5287° N, 77.0233° E",28.5287,77.0233
2055,flat,ramprastha the edge towers,sector 37d,0.98,5537.0,3.0,3.0,3+,5.0,Relatively New,1675.0,0.0,0.0,0.0,1.0,0.0,0.0,174.0,"28.4478° N, 76.9703° E",28.4478,76.9703
2056,flat,m3m heights,sector 65,2.29,15980.0,2.0,2.0,3,8.0,Under Construction,1592.22,1.0,0.0,0.0,0.0,0.0,0.0,15.0,"28.4030° N, 77.0690° E",28.403,77.069
2057,flat,chd avenue,sector 71,1.3,5532.0,4.0,4.0,3,5.0,Moderately Old,2126.7,0.0,1.0,0.0,0.0,0.0,0.0,126.0,"28.4104° N, 77.0281° E",28.4104,77.0281
2058,flat,birla navya,sector 63a,3.15,14631.0,3.0,3.0,3,4.0,Under Construction,2153.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,"28.3923° N, 77.0888° E",28.3923,77.0888
2059,house,unitech south city,sector 50,5.88,27222.0,3.0,9.0,3+,3.0,Relatively New,2160.0,1.0,1.0,0.0,1.0,1.0,2.0,128.0,"28.4178° N, 77.0628° E",28.4178,77.0628
2060,flat,assotech blith,sector 99,1.6,6667.0,3.0,4.0,0,15.0,New Property,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,"28.4640° N, 76.9614° E",28.464,76.9614
2061,flat,dlf park place,sector 54,5.75,24689.0,3.0,4.0,3,12.0,Relatively New,2329.0,0.0,1.0,0.0,0.0,0.0,2.0,174.0,"28.4348° N, 77.1089° E",28.4348,77.1089
2062,house,dlf floors phase 3,sector 24,3.51,12342.0,4.0,4.0,3,4.0,Under Construction,2844.0,1.0,1.0,1.0,1.0,0.0,1.0,160.0,"28.4939° N, 77.1038° E",28.4939,77.1038
2063,flat,pyramid urban homes 2,sector 86,0.41,6902.0,2.0,2.0,1,3.0,Relatively New,667.78,0.0,0.0,0.0,0.0,0.0,0.0,63.0,"28.3986° N, 76.9384° E",28.3986,76.9384
2064,flat,bestech park view grand spa,sector 81,2.29,8609.0,3.0,4.0,3+,10.0,Relatively New,4629.46,1.0,1.0,0.0,0.0,0.0,2.0,174.0,"28.3867° N, 76.9485° E",28.3867,76.9485
2065,house,emaar mgf marbella,sector 66,9.01,16066.0,4.0,4.0,3+,3.0,Relatively New,5574.7,0.0,1.0,1.0,0.0,0.0,0.0,122.0,"28.3925° N, 77.0541° E",28.3925,77.0541
2066,flat,m3m soulitude,sector 89,1.25,8784.0,3.0,3.0,2,3.0,New Property,1581.11,1.0,0.0,0.0,0.0,0.0,0.0,49.0,"28.4253° N, 76.9439° E",28.4253,76.9439
