,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
243,house,ninex city,sector 76,1.75,6250.0,4.0,4.0,0,14.0,New Property,3111.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3935° N, 76.9888° E",28.3935,76.9888
244,flat,suposhaa smartworld orchard,sector 61,2.17,14000.0,3.0,3.0,3,1.0,Under Construction,1721.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4050° N, 77.0963° E",28.405,77.0963
245,flat,emaar gurgaon greens,sector 102,1.35,8182.0,3.0,3.0,3,9.0,Relatively New,2629.41,0.0,1.0,0.0,0.0,0.0,0.0,100.0,"28.4750° N, 76.9715° E",28.475,76.9715
246,flat,paras dews,sector 106,1.05,8537.0,3.0,4.0,3+,10.0,Relatively New,1345.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0,"28.5007° N, 77.0003° E",28.5007,77.0003
247,flat,unitech heritage city,sector 14,4.26,13108.0,4.0,4.0,0,9.0,Old Property,3250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4711° N, 77.0454° E",28.4711,77.0454
248,flat,signature the roselia,sector 95,0.41,6193.0,2.0,2.0,2,12.0,New Property,670.0,1.0,0.0,0.0,0.0,0.0,1.0,90.0,"28.4172° N, 76.9081° E",28.4172,76.9081
249,house,ansals florence villa,sector 57,3.65,10580.0,6.0,6.0,2,3.0,Moderately Old,3450.0,1.0,1.0,1.0,1.0,0.0,2.0,152.0,"28.4232° N, 77.0752° E",28.4232,77.0752
250,flat,sbtl caladium,sector 109,1.2,6383.0,3.0,2.0,2,8.0,Relatively New,1701.36,0.0,0.0,0.0,0.0,0.0,0.0,151.0,"28.5073° N, 77.0089° E",28.5073,77.0089
251,flat,m3m woodshire,sector 107,0.98,6422.0,2.0,2.0,3,7.0,Relatively New,2561.57,1.0,0.0,0.0,0.0,0.0,1.0,174.0,"28.5052° N, 76.9729° E",28.5052,76.9729
252,house,independent,sector 56,7.5,23148.0,8.0,8.0,3+,3.0,Relatively New,3240.0,1.0,1.0,0.0,1.0,0.0,2.0,42.0,"28.4245° N, 77.0991° E",28.4245,77.0991
253,flat,krrish florence estate,sector 70,1.65,7765.0,3.0,4.0,3+,27.0,New Property,1923.08,1.0,1.0,0.0,0.0,0.0,0.0,81.0,"28.3968° N, 77.0233° E",28.3968,77.0233
254,house,vipul tatvam villa,sector 48,5.5,21219.0,3.0,6.0,2,2.0,Moderately Old,2592.0,0.0,1.0,0.0,0.0,1.0,1.0,106.0,"28.4177° N, 77.0359° E",28.4177,77.0359
255,flat,tulip violet,sector 69,1.38,8973.0,3.0,3.0,1,12.0,Relatively New,1391.86,0.0,0.0,0.0,0.0,0.0,0.0,157.0,"28.3966° N, 77.0341° E",28.3966,77.0341
256,house,independent,sector 69,0.8,10485.0,1.0,1.0,0,1.0,New Property,763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3966° N, 77.0341° E",28.3966,77.0341
257,flat,smart world gems,sector 89,0.9,8160.0,2.0,2.0,2,3.0,New Property,998.19,1.0,0.0,0.0,0.0,1.0,0.0,95.0,"28.4253° N, 76.9439° E",28.4253,76.9439
258,flat,green homes,sector 52,1.85,7872.0,3.0,3.0,3,7.0,Moderately Old,2126.7,0.0,1.0,0.0,0.0,0.0,0.0,28.0,"28.4379° N, 77.0785° E",28.4379,77.0785
259,flat,umang monsoon breeze,sector 78,0.75,6053.0,2.0,2.0,1,5.0,Moderately Old,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3733° N, 76.9729° E",28.3733,76.9729
260,flat,pareena coban residences,sector 99,1.3,6510.0,3.0,3.0,0,16.0,New Property,1997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4640° N, 76.9614° E",28.464,76.9614
261,flat,signature global the millennia,sector 37d,0.55,9167.0,2.0,2.0,3,3.0,New Property,610.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,"28.4478° N, 76.9703° E",28.4478,76.9703
262,flat,m3m heights,sector 65,2.0,13957.0,2.0,2.0,2,32.0,Relatively New,1433.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,"28.4030° N, 77.0690° E",28.403,77.069
263,flat,pareena coban residences,sector 99,1.32,6610.0,3.0,5.0,3,11.0,New Property,3473.91,0.0,1.0,0.0,0.0,0.0,0.0,88.0,"28.4640° N, 76.9614° E",28.464,76.9614
264,flat,experion windchants,sector 112,5.49,11585.0,4.0,5.0,3+,5.0,Relatively New,3655.35,0.0,1.0,0.0,0.0,0.0,1.0,168.0,"28.5189° N, 77.0183° E",28.5189,77.0183
265,flat,smart world gems,sector 89,1.0,9009.0,2.0,2.0,3,3.0,New Property,1233.33,1.0,0.0,0.0,0.0,1.0,0.0,99.0,"28.4253° N, 76.9439° E",28.4253,76.9439
266,flat,supertech araville,sector 79,1.0,6536.0,2.0,2.0,3,4.0,Relatively New,1700.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,"28.3624° N, 76.9787° E",28.3624,76.9787
267,flat,smart world gems,sector 89,0.9,8160.0,2.0,2.0,2,2.0,New Property,998.19,1.0,0.0,0.0,0.0,1.0,0.0,44.0,"28.4253° N, 76.9439° E",28.4253,76.9439
268,house,sector 57 huda,sector 57,3.8,26063.0,2.0,8.0,3+,4.0,Relatively New,1458.0,0.0,0.0,1.0,1.0,0.0,1.0,94.0,"28.4232° N, 77.0752° E",28.4232,77.0752
269,flat,sare homes,sector 92,0.65,4587.0,3.0,3.0,2,3.0,Relatively New,1574.44,0.0,0.0,0.0,0.0,0.0,0.0,6.0,"28.4079° N, 76.9153° E",28.4079,76.9153
270,flat,signature global city 37d ph 2,sector 37d,1.36,8848.0,3.0,3.0,3,1.0,Under Construction,1535.0,0.0,0.0,0.0,1.0,1.0,0.0,37.0,"28.4478° N, 76.9703° E",28.4478,76.9703
271,house,international city by sobha phase 2,sector 109,11.3,25111.0,7.0,5.0,3+,4.0,Relatively New,4500.0,1.0,1.0,0.0,1.0,1.0,0.0,49.0,"28.5073° N, 77.0089° E",28.5073,77.0089
272,flat,ramprastha skyz,sector 37d,1.25,7251.0,3.0,3.0,3+,2.0,Under Construction,1725.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,"28.4478° N, 76.9703° E",28.4478,76.9703
273,flat,my home,sector 110,0.28,3167.0,2.0,1.0,1,2.0,Relatively New,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,"28.5145° N, 77.0197° E",28.5145,77.0197
274,flat,shapoorji pallonji joyville gurugram,sector 102,1.3,17687.0,2.0,2.0,3,0.0,Relatively New,1009.0,0.0,0.0,1.0,0.0,0.0,0.0,125.0,"28.4750° N, 76.9715° E",28.475,76.9715
275,house,dlf city plot phase 4,sector 28,13.0,17931.0,10.0,10.0,3+,1.0,Relatively New,8055.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4728° N, 77.0865° E",28.4728,77.0865
276,flat,parsvnath exotica,sector 53,4.8,16580.0,3.0,4.0,3+,8.0,Relatively New,2500.0,0.0,1.0,0.0,1.0,1.0,1.0,174.0,"28.4433° N, 77.0948° E",28.4433,77.0948
277,flat,godrej summit,sector 104,1.35,5015.0,4.0,5.0,3+,0.0,Relatively New,2991.11,1.0,1.0,1.0,1.0,0.0,0.0,88.0,"28.4788° N, 76.9960° E",28.4788,76.996
278,flat,tulip monsella,sector 53,8.25,28004.0,3.0,4.0,3,8.0,Under Construction,2660.63,0.0,1.0,0.0,0.0,0.0,2.0,35.0,"28.4433° N, 77.0948° E",28.4433,77.0948
279,house,independent,sector 5,0.85,8500.0,1.0,1.0,0,1.0,Relatively New,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4794° N, 77.0176° E",28.4794,77.0176
280,flat,sare crescent parc royal greens phase 1,sector 92,0.65,4511.0,3.0,3.0,3,1.0,Moderately Old,1303.57,0.0,0.0,0.0,0.0,0.0,0.0,91.0,"28.4079° N, 76.9153° E",28.4079,76.9153
281,flat,surendra avenue 69,sector 69,0.75,6818.0,2.0,2.0,2,4.0,Moderately Old,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3966° N, 77.0341° E",28.3966,77.0341
282,house,independent,sector 7,0.69,9103.0,1.0,1.0,1,2.0,Old Property,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4644° N, 77.0143° E",28.4644,77.0143
283,house,independent,sector 40,5.0,21124.0,9.0,9.0,3+,3.0,Moderately Old,2367.0,0.0,1.0,1.0,0.0,0.0,1.0,83.0,"28.4498° N, 77.0567° E",28.4498,77.0567
